source,model_name,method,reasoning_type,context_length,evidence_position,evidence_density,distractor_similarity,n,exact_match_strict,answer_f1_strict,exact_match_relaxed,answer_f1_relaxed,exact_match,answer_f1,evidence_precision,evidence_recall,evidence_f1,citation_grounding
2wikimultihopqa,qwen3:14b,oracle,comparison,8000,middle,low,unknown,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.8333333333333333,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,8000,middle,medium,unknown,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.7936507936507936,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,8000,scattered,low,unknown,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.7777777777777778,0.8518518518518519,1.0
2wikimultihopqa,qwen3:14b,oracle,comparison,8000,scattered,medium,unknown,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,0.6730769230769231,0.7985347985347985,1.0
2wikimultihopqa,qwen3:14b,oracle,multi_hop,16000,end,low,unknown,24,0.6666666666666666,0.7862713675213675,0.6666666666666666,0.7832410644910645,0.6666666666666666,0.7862713675213675,1.0,0.75,0.8333333333333333,1.0
2wikimultihopqa,qwen3:14b,oracle,multi_hop,16000,front,low,unknown,27,0.6296296296296297,0.7267489711934156,0.6296296296296297,0.7267489711934156,0.6296296296296297,0.7267489711934156,0.9629629629629629,0.7407407407407407,0.8148148148148148,0.9629629629629629
2wikimultihopqa,qwen3:14b,oracle,multi_hop,16000,middle,low,unknown,26,0.4230769230769231,0.6164835164835165,0.4230769230769231,0.6164835164835165,0.4230769230769231,0.6164835164835165,1.0,0.8461538461538461,0.8974358974358975,1.0
2wikimultihopqa,qwen3:14b,oracle,multi_hop,16000,scattered,low,unknown,19,0.47368421052631576,0.673582995951417,0.47368421052631576,0.6595479082321187,0.47368421052631576,0.673582995951417,0.9473684210526315,0.631578947368421,0.7368421052631579,0.9473684210526315
2wikimultihopqa,qwen3:14b,oracle,multi_hop,4000,end,low,unknown,22,0.6363636363636364,0.7532467532467533,0.6363636363636364,0.7835497835497836,0.6363636363636364,0.7532467532467533,0.9545454545454546,0.7954545454545454,0.8484848484848485,0.9545454545454546
2wikimultihopqa,qwen3:14b,oracle,multi_hop,4000,front,low,unknown,22,0.5454545454545454,0.6787878787878788,0.5909090909090909,0.7242424242424242,0.5454545454545454,0.6787878787878788,0.9545454545454546,0.7272727272727273,0.803030303030303,0.9545454545454546
2wikimultihopqa,qwen3:14b,oracle,multi_hop,4000,middle,low,unknown,24,0.5416666666666666,0.647420634920635,0.5416666666666666,0.6459325396825397,0.5416666666666666,0.647420634920635,0.9583333333333334,0.7708333333333334,0.8333333333333334,0.9583333333333334
2wikimultihopqa,qwen3:14b,oracle,multi_hop,4000,scattered,low,unknown,23,0.391304347826087,0.5082125603864734,0.391304347826087,0.5233954451345756,0.391304347826087,0.5082125603864734,0.9565217391304348,0.6739130434782609,0.7681159420289855,0.9565217391304348
2wikimultihopqa,qwen3:14b,oracle,multi_hop,8000,end,low,unknown,21,0.3333333333333333,0.5219198790627362,0.3333333333333333,0.5198034769463341,0.3333333333333333,0.5219198790627362,0.9523809523809523,0.6428571428571429,0.746031746031746,0.9523809523809523
2wikimultihopqa,qwen3:14b,oracle,multi_hop,8000,front,low,unknown,23,0.5652173913043478,0.6038647342995169,0.5652173913043478,0.6038647342995169,0.5652173913043478,0.6038647342995169,0.9565217391304348,0.8260869565217391,0.8695652173913043,0.9565217391304348
2wikimultihopqa,qwen3:14b,oracle,multi_hop,8000,middle,low,unknown,27,0.48148148148148145,0.6232216343327455,0.48148148148148145,0.625466303244081,0.48148148148148145,0.6232216343327455,0.9629629629629629,0.7592592592592593,0.8271604938271605,0.9629629629629629
2wikimultihopqa,qwen3:14b,oracle,multi_hop,8000,scattered,low,unknown,20,0.4,0.6719047619047619,0.45,0.6983333333333334,0.4,0.6719047619047619,0.95,0.775,0.8333333333333334,0.95
