model_name,context_length,evidence_position,position_fraction,long_method,score_field,score_no_evidence,score_oracle,score_long,n,oncu_valid,oncu_invalid_reason,oncu_raw,oncu_clipped
qwen2.5:14b,4000,pos_06,0.65,retrieve_then_read,answer_f1_relaxed,0.0,0.9166666666666666,0.975,80,True,,1.0636363636363637,1.0
qwen2.5:14b,4000,pos_07,0.75,direct,answer_f1_relaxed,0.0,0.9458333333333333,0.94375,80,True,,0.9977973568281938,0.9977973568281938
qwen2.5:14b,4000,pos_07,0.75,retrieve_then_read,answer_f1_relaxed,0.0,0.9458333333333333,0.9708333333333333,80,True,,1.026431718061674,1.0
qwen2.5:14b,4000,pos_08,0.85,direct,answer_f1_relaxed,0.0,0.9166666666666666,0.96875,80,True,,1.0568181818181819,1.0
qwen2.5:14b,4000,pos_08,0.85,retrieve_then_read,answer_f1_relaxed,0.0,0.9166666666666666,0.975,80,True,,1.0636363636363637,1.0
qwen2.5:14b,4000,pos_09,0.95,direct,answer_f1_relaxed,0.0,0.9166666666666666,0.9479166666666666,80,True,,1.0340909090909092,1.0
qwen2.5:14b,4000,pos_09,0.95,retrieve_then_read,answer_f1_relaxed,0.0,0.9166666666666666,0.9958333333333333,80,True,,1.0863636363636364,1.0
qwen2.5:14b,8000,pos_00,0.05,direct,answer_f1_relaxed,0.0,0.9166666666666666,0.09999999999999999,80,True,,0.10909090909090909,0.10909090909090909
qwen2.5:14b,8000,pos_00,0.05,retrieve_then_read,answer_f1_relaxed,0.0,0.9166666666666666,0.95,80,True,,1.0363636363636364,1.0
qwen2.5:14b,8000,pos_01,0.15,direct,answer_f1_relaxed,0.0,0.9083333333333333,0.09166666666666666,80,True,,0.10091743119266054,0.10091743119266054
qwen2.5:14b,8000,pos_01,0.15,retrieve_then_read,answer_f1_relaxed,0.0,0.9083333333333333,1.0,80,True,,1.1009174311926606,1.0
qwen2.5:14b,8000,pos_02,0.25,direct,answer_f1_relaxed,0.0,0.9416666666666667,0.40625,80,True,,0.4314159292035398,0.4314159292035398
qwen2.5:14b,8000,pos_02,0.25,retrieve_then_read,answer_f1_relaxed,0.0,0.9416666666666667,0.95,80,True,,1.008849557522124,1.0
qwen2.5:14b,8000,pos_03,0.35,direct,answer_f1_relaxed,0.0,0.925,0.41875,80,True,,0.4527027027027027,0.4527027027027027
qwen2.5:14b,8000,pos_03,0.35,retrieve_then_read,answer_f1_relaxed,0.0,0.925,0.96875,80,True,,1.0472972972972971,1.0
qwen2.5:14b,8000,pos_04,0.45,direct,answer_f1_relaxed,0.0,0.9375,0.43333333333333335,80,True,,0.46222222222222226,0.46222222222222226
qwen2.5:14b,8000,pos_04,0.45,retrieve_then_read,answer_f1_relaxed,0.0,0.9375,0.95,80,True,,1.0133333333333332,1.0
qwen2.5:14b,8000,pos_05,0.55,direct,answer_f1_relaxed,0.0,0.9375,0.4038690476190476,80,True,,0.4307936507936508,0.4307936507936508
qwen2.5:14b,8000,pos_05,0.55,retrieve_then_read,answer_f1_relaxed,0.0,0.9375,0.95,80,True,,1.0133333333333332,1.0
qwen2.5:14b,8000,pos_06,0.65,direct,answer_f1_relaxed,0.0,0.925,0.9583333333333334,80,True,,1.0360360360360361,1.0
qwen2.5:14b,8000,pos_06,0.65,retrieve_then_read,answer_f1_relaxed,0.0,0.925,0.925,80,True,,1.0,1.0
qwen2.5:14b,8000,pos_07,0.75,direct,answer_f1_relaxed,0.0,0.9083333333333333,0.9625,80,True,,1.0596330275229358,1.0
qwen2.5:14b,8000,pos_07,0.75,retrieve_then_read,answer_f1_relaxed,0.0,0.9083333333333333,0.9375,80,True,,1.0321100917431192,1.0
qwen2.5:14b,8000,pos_08,0.85,direct,answer_f1_relaxed,0.0,0.925,0.98125,80,True,,1.0608108108108107,1.0
qwen2.5:14b,8000,pos_08,0.85,retrieve_then_read,answer_f1_relaxed,0.0,0.925,1.0,80,True,,1.081081081081081,1.0
qwen2.5:14b,8000,pos_09,0.95,direct,answer_f1_relaxed,0.0,0.9041666666666667,0.975,80,True,,1.0783410138248848,1.0
qwen2.5:14b,8000,pos_09,0.95,retrieve_then_read,answer_f1_relaxed,0.0,0.9041666666666667,0.9875,80,True,,1.0921658986175116,1.0
qwen3:14b,16000,pos_00,0.05,direct,answer_f1_relaxed,0.0,1.0,0.0,80,True,,0.0,0.0
qwen3:14b,16000,pos_00,0.05,retrieve_then_read,answer_f1_relaxed,0.0,1.0,1.0,80,True,,1.0,1.0
qwen3:14b,16000,pos_01,0.15,direct,answer_f1_relaxed,0.0,1.0,0.0,80,True,,0.0,0.0
qwen3:14b,16000,pos_01,0.15,retrieve_then_read,answer_f1_relaxed,0.0,1.0,1.0,80,True,,1.0,1.0
qwen3:14b,16000,pos_02,0.25,direct,answer_f1_relaxed,0.0,0.9875,0.0,80,True,,0.0,0.0
qwen3:14b,16000,pos_02,0.25,retrieve_then_read,answer_f1_relaxed,0.0,0.9875,0.9875,80,True,,1.0,1.0
qwen3:14b,16000,pos_03,0.35,direct,answer_f1_relaxed,0.0,1.0,0.0,80,True,,0.0,0.0
qwen3:14b,16000,pos_03,0.35,retrieve_then_read,answer_f1_relaxed,0.0,1.0,1.0,80,True,,1.0,1.0
qwen3:14b,16000,pos_04,0.45,direct,answer_f1_relaxed,0.0,1.0,0.0,80,True,,0.0,0.0
qwen3:14b,16000,pos_04,0.45,retrieve_then_read,answer_f1_relaxed,0.0,1.0,1.0,80,True,,1.0,1.0
qwen3:14b,16000,pos_05,0.55,direct,answer_f1_relaxed,0.0,0.9958333333333333,0.0,80,True,,0.0,0.0
qwen3:14b,16000,pos_05,0.55,retrieve_then_read,answer_f1_relaxed,0.0,0.9958333333333333,1.0,80,True,,1.00418410041841,1.0
qwen3:14b,16000,pos_06,0.65,direct,answer_f1_relaxed,0.0,0.9875,0.5,80,True,,0.5063291139240506,0.5063291139240506
qwen3:14b,16000,pos_06,0.65,retrieve_then_read,answer_f1_relaxed,0.0,0.9875,1.0,80,True,,1.0126582278481011,1.0
qwen3:14b,16000,pos_07,0.75,direct,answer_f1_relaxed,0.0,0.9958333333333333,0.5125,80,True,,0.5146443514644351,0.5146443514644351
qwen3:14b,16000,pos_07,0.75,retrieve_then_read,answer_f1_relaxed,0.0,0.9958333333333333,1.0,80,True,,1.00418410041841,1.0
qwen3:14b,16000,pos_08,0.85,direct,answer_f1_relaxed,0.0,0.9875,1.0,80,True,,1.0126582278481011,1.0
qwen3:14b,16000,pos_08,0.85,retrieve_then_read,answer_f1_relaxed,0.0,0.9875,0.9958333333333333,80,True,,1.0084388185654007,1.0
qwen3:14b,16000,pos_09,0.95,direct,answer_f1_relaxed,0.0,0.9958333333333333,0.975,80,True,,0.9790794979079498,0.9790794979079498
qwen3:14b,16000,pos_09,0.95,retrieve_then_read,answer_f1_relaxed,0.0,0.9958333333333333,1.0,80,True,,1.00418410041841,1.0
qwen3:14b,32000,pos_00,0.05,direct,answer_f1_relaxed,0.0,0.9958333333333333,0.0,80,True,,0.0,0.0
qwen3:14b,32000,pos_00,0.05,retrieve_then_read,answer_f1_relaxed,0.0,0.9958333333333333,1.0,80,True,,1.00418410041841,1.0
qwen3:14b,32000,pos_01,0.15,direct,answer_f1_relaxed,0.0,0.9958333333333333,0.0,80,True,,0.0,0.0
qwen3:14b,32000,pos_01,0.15,retrieve_then_read,answer_f1_relaxed,0.0,0.9958333333333333,1.0,80,True,,1.00418410041841,1.0
qwen3:14b,32000,pos_02,0.25,direct,answer_f1_relaxed,0.0,0.9958333333333333,0.0,80,True,,0.0,0.0
qwen3:14b,32000,pos_02,0.25,retrieve_then_read,answer_f1_relaxed,0.0,0.9958333333333333,1.0,80,True,,1.00418410041841,1.0
qwen3:14b,32000,pos_03,0.35,direct,answer_f1_relaxed,0.0,1.0,0.0,80,True,,0.0,0.0
qwen3:14b,32000,pos_03,0.35,retrieve_then_read,answer_f1_relaxed,0.0,1.0,1.0,80,True,,1.0,1.0
qwen3:14b,32000,pos_04,0.45,direct,answer_f1_relaxed,0.0,1.0,0.0,80,True,,0.0,0.0
qwen3:14b,32000,pos_04,0.45,retrieve_then_read,answer_f1_relaxed,0.0,1.0,1.0,80,True,,1.0,1.0
